지역,2020(1),2020(2),2020(3)
충북 충북대학교,17.1,17.1,17
충북 충주,10.8,10.7,10.7
충북 충주자유시장,7.9,7.8,7.8
충남 ,12.7,12.7,12.6
충남 강경젓갈시장,7.6,7.6,7.5
충남 공주웅진동,15.7,15.6,15.6
충남 논산시외버스터미널,12.8,12.8,12.7
충남 당진시청,16.1,15.8,15.7
충남 두정,15.3,15.2,15.2
충남 보령,14.1,14,14
충남 서산,17.1,17,16.9
충남 아산온양,13.7,13.7,13.7
충남 천안역,15.2,15.2,15.2
충남 천안종합버스터미널,17.9,17.8,17.8
충남 태안,10.1,10.1,10
충남 합덕버스터미널,7.3,7.3,7.3
전북 ,10.3,10.3,10.2
전북 군산,8.9,8.7,8.7
전북 김제,9.5,9.5,9.5
전북 남원,9,9,9
전북 익산역,8.7,8.7,8.6
전북 전주동부,13.5,13.5,13.5
전북 전주서부,13.7,13.6,13.6
전북 정읍,13.2,13.1,13.1
전남 ,9.8,9.8,9.8
전남 광양읍,6.4,6.4,6.4
전남 광양중동,9.9,9.9,9.8
전남 나주구시가지,10.9,10.9,10.8
전남 목포,7,6.9,6.9
전남 무선지구,10,10,10
전남 순천,10.8,10.7,10.7
전남 순천법원,12.5,12.4,12.4
전남 여수여문,10.7,10.7,10.7
전남 여수원도심,19.9,19.9,19.9
전남 여수학동,11.2,11.1,11.1
전남 조례,14.4,14.4,14.3
전남 하당신도심,11.3,11.2,11.2
경북 ,13,13,12.9
경북 가흥택지개발지구,12.4,12.4,11.6
경북 경주,20.8,20.8,20.5
경북 구미,15.8,15.7,15.7
경북 구미산업단지,16.5,16.5,16.5
경북 구미선주원남동,12.1,12.1,11.9
경북 문경,10.2,10.2,10.2
경북 상주동문동,10.4,10.4,10.3
경북 안동,12.2,12.1,12.1
경북 영일대해수욕장,16.7,16.7,16.7
경북 영주,6.7,6.6,6.6
경북 옥동사거리,13,13,12.6
경북 포항,11.3,11.3,11.1
경남 ,13.4,13.4,13.2
경남 거제,16.3,16.3,16.3
경남 거제옥포,12.9,12.8,12.8
경남 김해,13.8,13.8,13.8
경남 마산동서동,14.1,14.1,14
경남 마산역버스터미널,16.4,16.2,16.1
경남 양산,9.4,9.4,9.3
경남 진주중앙시장,15.8,15.7,15.5
경남 진해,18.8,18.7,18.7
경남 창원시청,12.2,12.1,12.1
경남 창원역,16.2,16,15.8
경남 창원월영동,25.1,24.8,24.3
경남 창원의창구청,9,9,9
경남 통영 강구안,26.3,26.1,26.1
경남 활천동,10.3,10.3,10.3
제주 ,12.5,12.4,12.4
제주 광양사거리,11.2,10.8,10.8
제주 노형오거리,18.3,18.3,18.3
제주 서귀포도심,15.4,15.1,15.1
제주 중앙사거리,9.9,9.9,9.9
